INSTNM,STABBR,year,earnings_med,count_not_working,count_working
Marinello Schools of Beauty-Paramount,CA,2007,0,20,37
Paris Beauty College,CA,2007,0,10,27
Pasade City College,CA,2007,37200,373,2161
Patten University,CA,2007,30400,63,213
Pepperdine University,CA,2007,64700,103,823
Pitzer College,CA,2007,47700,15,203
Platt College-San Diego,CA,2007,37900,85,303
Point Loma zarene University,CA,2007,47600,123,772
Pomo College,CA,2007,52500,33,265
Porterville College,CA,2007,30200,155,723
Westwood College-South Bay,CA,2007,46800,17,93
Professiol Institute of Beauty,CA,2007,16100,35,69
Santa A College,CA,2007,35600,326,1455
University of Redlands,CA,2007,60900,111,1209
College of the Redwoods,CA,2007,27200,452,1328
Salon Success Academy-Upland,CA,2007,0,0,0
Salon Success Academy-Coro,CA,2007,0,8,24
Rio Hondo College,CA,2007,36300,264,1751
Riverside City College,CA,2007,31800,503,2290
Argosy University-San Francisco Bay Area,CA,2007,58500,5,51
Rosemead Beauty School,CA,2007,13600,35,99
Sacramento City College,CA,2007,34300,459,1918
Saddleback College,CA,2007,37200,185,737
Samuel Merritt University,CA,2007,91400,13,139
San Diego City College,CA,2007,28300,664,2310
Golf Academy of America-San Diego,CA,2007,28500,188,1063
San Diego Mesa College,CA,2007,36400,397,1940
San Diego Miramar College,CA,2007,36800,99,491
San Diego State University,CA,2007,51400,656,6666
University of San Diego,CA,2007,58900,115,1227
San Francisco Art Institute,CA,2007,26500,54,185
San Francisco Conservatory of Music,CA,2007,0,6,35
San Francisco State University,CA,2007,50600,643,4982
University of San Francisco,CA,2007,66400,136,1484
San Joaquin Delta College,CA,2007,30200,765,2733
San Joaquin Valley College-Visalia,CA,2007,29800,410,2068
San Joaquin Valley College-Bakersfield,CA,2007,29800,410,2068
William Jessup University,CA,2007,41000,31,157
San Jose City College,CA,2007,32700,200,686
San Jose State University,CA,2007,57100,478,4091
College of San Mateo,CA,2007,46500,137,513
Santa Barbara Business College-Bakersfield,CA,2007,23600,123,435
Westwood College-Los Angeles,CA,2007,36600,30,130
Santa Barbara Business College-Santa Maria,CA,2007,25500,77,379
Santa Barbara City College,CA,2007,35200,235,1148
Santa Clara University,CA,2007,72100,80,1059
Santa Monica College,CA,2007,35300,424,1987
Santa Rosa Junior College,CA,2007,36700,374,1421
Scripps College,CA,2007,50300,15,147
Wyotech-Fremont,CA,2007,40200,306,1261
College of the Sequoias,CA,2007,30000,403,1892
Shasta Bible College and Graduate School,CA,2007,0,0,0
Shasta College,CA,2007,27900,453,1439
Sierra College,CA,2007,33500,288,1027
Sierra College of Beauty,CA,2007,0,21,47
Sierra Valley College of Court Reporting,CA,2007,29900,28,137
Simpson University,CA,2007,38900,102,570
College of the Siskiyous,CA,2007,28000,134,413
Charles A Jones Career and Education Center,CA,2007,24300,106,328
Skyline College,CA,2007,41100,118,552
San Berrdino Valley College,CA,2007,28000,565,1913
Saint Mary's College of California,CA,2007,62200,108,1101
Solano Community College,CA,2007,32500,164,658
Sonoma State University,CA,2007,49600,190,1511
Pincle College,CA,2007,33900,11,76
South Baylo University,CA,2007,26900,49,100
South Coast College,CA,2007,35800,48,177
Vanguard University of Southern California,CA,2007,42600,67,522
Concorde Career College-Garden Grove,CA,2007,38300,97,594
Southwestern College,CA,2007,34800,228,1404
Southern California Institute of Architecture,CA,2007,0,10,33
University of Southern California,CA,2007,65800,409,4029
Taft College,CA,2007,28800,39,160
Thomas Aquis College,CA,2007,36300,29,79
Marinello Schools of Beauty-Lake Forest,CA,2007,0,9,21
Epic Bible College,CA,2007,0,0,0
United Education Institute-Huntington Park Campus,CA,2007,27900,857,3935
Concorde Career College-San Berrdino,CA,2007,30900,185,1003
Universal College of Beauty Inc-Los Angeles 1,CA,2007,15600,28,105
Concorde Career College-North Hollywood,CA,2007,41100,143,861
Ventura College,CA,2007,35600,139,848
Victor Valley Beauty College Inc,CA,2007,15200,33,85
Victor Valley College,CA,2007,28800,349,1258
Berkeley City College,CA,2007,27100,162,387
Walden University,MN,2007,0,0,0
West Hills College-Coalinga,CA,2007,28800,169,876
West Los Angeles College,CA,2007,33000,188,716
West Valley College,CA,2007,39900,150,569
Carrington College-Sacramento,CA,2007,32800,390,1989
Westmont College,CA,2007,49600,56,418
Whittier College,CA,2007,53900,56,540
Woodbury University,CA,2007,56700,41,341
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Semiry,CA,2007,0,0,0
Yuba College,CA,2007,29400,419,1378
The Salon Professiol Academy-Grand Junction,CO,2007,14800,5,50
Adams State University,CO,2007,37300,98,786
Aims Community College,CO,2007,31800,179,922
Arapahoe Community College,CO,2007,37900,122,752
Bel-Rea Institute of Animal Technology,CO,2007,28800,78,439
Altierus Career College-Colorado Springs,CO,2007,27700,83,360
Boulder College of Massage Therapy,CO,2007,22200,34,157
University of Colorado Denver/Anschutz Medical Campus,CO,2007,85200,24,289
University of Colorado Colorado Springs,CO,2007,43200,143,1134
Spartan College of Aeroutics and Technology,CO,2007,50000,75,594
University of Colorado Boulder,CO,2007,51300,382,3818
Colorado Christian University,CO,2007,48300,102,828
Colorado College,CO,2007,44100,50,374
Concorde Career College-Aurora,CO,2007,33200,65,375
The Art Institute of Colorado,CO,2007,36600,304,2218
Colorado Mountain College,CO,2007,31400,110,576
Colorado Northwestern Community College,CO,2007,36700,21,267
Colorado School of Mines,CO,2007,78400,43,630
Colorado School of Trades,CO,2007,29000,41,133
